date,count
2019-01-15,453
2019-02-15,444
2019-03-15,424
2019-04-15,345
2019-05-15,387
2019-06-15,389
2019-07-15,428
2019-08-15,411
2019-09-15,459
2019-10-15,451
2019-11-15,414
2019-12-15,385
2020-01-15,397
2020-02-15,438
2020-03-15,373
2020-04-15,365
2020-05-15,357
2020-06-15,416
2020-07-15,419
2020-08-15,471
2020-09-15,426
2020-10-15,403
2020-11-15,408
2020-12-15,408
2021-01-15,377
2021-02-15,500
2021-03-15,465
2021-04-15,501
2021-05-15,485
2021-06-15,402
2021-07-15,395
2021-08-15,440
2021-09-15,412
2021-10-15,475
2021-11-15,393
2021-12-15,400
2022-01-15,475
2022-02-15,523
2022-03-15,410
2022-04-15,444
2022-05-15,455
2022-06-15,424
2022-07-15,403
2022-08-15,448
2022-09-15,470
2022-10-15,485
2022-11-15,406
2022-12-15,456
2023-01-15,534
2023-02-15,554
2023-03-15,515
2023-04-15,456
2023-05-15,543
2023-06-15,466
2023-07-15,444
2023-08-15,515
2023-09-15,482
2023-10-15,517
2023-11-15,460
2023-12-15,540
2024-01-15,587
2024-02-15,464
2024-03-15,540
2024-04-15,448
2024-05-15,531
2024-06-15,571
2024-07-15,496
2024-08-15,550
2024-09-15,581
2024-10-15,484
2024-11-15,541
2024-12-15,542
