date,count
2019-01-15,12
2019-02-10,9
2019-03-12,10
2019-04-20,11
2019-05-18,13
2019-06-22,15
2019-07-15,14
2019-08-18,16
2019-09-12,13
2019-10-20,17
2019-11-25,19
2019-12-30,20
2020-01-10,14
2020-02-12,11
2020-03-15,13
2020-04-18,12
2020-05-20,16
2020-06-22,18
2020-07-19,17
2020-08-21,20
2020-09-20,18
2020-10-25,22
2020-11-29,23
2020-12-31,25
2021-01-12,18
2021-02-15,16
2021-03-18,19
2021-04-20,17
2021-05-22,21
2021-06-25,23
2021-07-20,22
2021-08-23,24
2021-09-21,22
2021-10-24,26
2021-11-27,28
2021-12-30,30
2022-01-10,20
2022-02-12,19
2022-03-14,21
2022-04-18,20
2022-05-20,24
2022-06-23,26
2022-07-22,25
2022-08-24,27
2022-09-25,26
2022-10-26,29
2022-11-28,31
2022-12-30,33
2023-01-11,22
2023-02-13,21
2023-03-15,23
2023-04-18,22
2023-05-21,26
2023-06-24,28
2023-07-23,27
2023-08-25,29
2023-09-26,28
2023-10-27,31
2023-11-29,33
2023-12-30,35
2024-01-12,24
2024-02-14,23
2024-03-16,25
2024-04-18,24
2024-05-20,28
2024-06-22,30
2024-07-21,29
2024-08-23,31
2024-09-25,30
2024-10-26,33
2024-11-28,35
2024-12-30,37
